Agent_Number,Topology,Beta,Circle_Degree,Trendsetter_Percent,Epsilon,Weight,Trendsetter_Choosing_Type,Window_Size,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage
100,scale_free,0.05,[1],1,0.01,"[0,0,1]",by closeness,5,10,10,20,0.5
100,scale_free,0.05,[1],1,0.05,"[0,0,1]",by closeness,5,12,8,20,0.4
100,scale_free,0.05,[1],1,0.1,"[0,0,1]",by closeness,5,10,10,20,0.5
100,scale_free,0.05,[1],2,0.01,"[0,0,1]",by closeness,5,1,19,20,0.95
