A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage,Agent_Number,Epsilon,Trendsetter_Percent,Beta,Weight
75,15,90,0.15,100,0.15,10,0.3,"[0, 0, 1]"
96,3,99,0.03,100,0.1,8,0.3,"[0, 0, 1]"
86,10,96,0.1,100,0.2,10,0.3,"[0, 0, 1]"
86,9,95,0.09,100,0.2,10,0.4,"[0, 0, 1]"
90,8,98,0.08,100,0.2,8,0.4,"[0, 0, 1]"
96,3,99,0.03,100,0.1,8,0.4,"[0, 0, 1]"
91,5,96,0.05,100,0.2,6,0.4,"[0, 0, 1]"
93,6,99,0.06,100,0.2,4,0.3,"[0, 0, 1]"
