Agent_Number,Epsilon,Trendsetter_Percent,Beta,Weight,Trendsetter_Choosing_Type,Topology,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage
100,0.15,10,0.3,"[0, 0, 1]",by degree,scale_free,0,20,20,1.0
100,0.1,8,0.3,"[0, 0, 1]",by degree,scale_free,0,20,20,1.0
100,0.2,10,0.3,"[0, 0, 1]",by degree,scale_free,0,20,20,1.0
100,0.2,10,0.4,"[0, 0, 1]",by degree,scale_free,0,20,20,1.0
100,0.2,8,0.4,"[0, 0, 1]",by degree,scale_free,1,19,20,0.95
