Topology,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage,Agent_Number,Epsilon,Trendsetter_Percent,Beta,Weight
random,0,0,0,0.0,100,0.15,10,0.3,"[0,1,0]"
random,0,0,0,0.0,100,0.1,8,0.3,"[0,1,0]"
random,0,0,0,0.0,100,0.2,10,0.3,"[0,1,0]"
random,0,0,0,0.0,100,0.2,10,0.4,"[0,1,0]"
random,0,0,0,0.0,100,0.2,8,0.4,"[0,1,0]"
random,0,0,0,0.0,100,0.1,8,0.4,"[0,1,0]"
random,0,0,0,0.0,100,0.2,6,0.4,"[0,1,0]"
random,0,0,0,0.0,100,0.2,4,0.3,"[0,1,0]"
