Agent Number,Epsilon,Trendsetter %,Beta,Weight,Trial,Percent of A,Percent of B
64,0.05,10,0.1,"[0, 0, 1]",2,51.5625,48.4375
64,0.05,10,0.1,"[0, 0, 1]",3,57.8125,42.1875
64,0.05,10,0.1,"[0, 0, 1]",4,51.5625,48.4375
64,0.05,10,0.1,"[0, 0, 1]",5,53.125,46.875
64,0.05,10,0.2,"[1, 0, 0]",1,100.0,0.0
64,0.05,10,0.2,"[1, 0, 0]",2,100.0,0.0
64,0.05,10,0.2,"[1, 0, 0]",3,100.0,0.0
64,0.05,10,0.2,"[1, 0, 0]",4,100.0,0.0
64,0.05,10,0.2,"[1, 0, 0]",5,100.0,0.0
64,0.05,10,0.2,"[0, 1, 0]",1,85.9375,14.0625
64,0.05,10,0.2,"[0, 1, 0]",2,84.375,15.625
64,0.05,10,0.2,"[0, 1, 0]",3,90.625,9.375
64,0.05,10,0.2,"[0, 1, 0]",4,87.5,12.5
64,0.05,10,0.2,"[0, 1, 0]",5,87.5,12.5
64,0.05,10,0.2,"[0, 0, 1]",1,100.0,0.0
64,0.05,10,0.2,"[0, 0, 1]",2,100.0,0.0
64,0.05,10,0.2,"[0, 0, 1]",3,100.0,0.0
64,0.05,10,0.2,"[0, 0, 1]",4,100.0,0.0
64,0.05,10,0.2,"[0, 0, 1]",5,100.0,0.0
64,0.05,10,0.3,"[1, 0, 0]",1,100.0,0.0
64,0.05,10,0.3,"[1, 0, 0]",2,100.0,0.0
64,0.05,10,0.3,"[1, 0, 0]",3,100.0,0.0
64,0.05,10,0.3,"[1, 0, 0]",4,100.0,0.0
64,0.05,10,0.3,"[1, 0, 0]",5,100.0,0.0
64,0.05,10,0.3,"[0, 1, 0]",1,84.375,15.625
64,0.05,10,0.3,"[0, 1, 0]",2,87.5,12.5
64,0.05,10,0.3,"[0, 1, 0]",3,85.9375,14.0625
64,0.05,10,0.3,"[0, 1, 0]",4,89.0625,10.9375
64,0.05,10,0.3,"[0, 1, 0]",5,89.0625,10.9375
64,0.05,10,0.3,"[0, 0, 1]",1,100.0,0.0
64,0.05,10,0.3,"[0, 0, 1]",2,100.0,0.0
64,0.05,10,0.3,"[0, 0, 1]",3,100.0,0.0
64,0.05,10,0.3,"[0, 0, 1]",4,100.0,0.0
64,0.05,10,0.3,"[0, 0, 1]",5,100.0,0.0
64,0.05,10,0.4,"[1, 0, 0]",1,100.0,0.0
64,0.05,10,0.4,"[1, 0, 0]",2,100.0,0.0
64,0.05,10,0.4,"[1, 0, 0]",3,100.0,0.0
64,0.05,10,0.4,"[1, 0, 0]",4,100.0,0.0
64,0.05,10,0.4,"[1, 0, 0]",5,100.0,0.0
64,0.05,10,0.4,"[0, 1, 0]",1,87.5,12.5
64,0.05,10,0.4,"[0, 1, 0]",2,85.9375,14.0625
64,0.05,10,0.4,"[0, 1, 0]",3,89.0625,10.9375
64,0.05,10,0.4,"[0, 1, 0]",4,89.0625,10.9375
64,0.05,10,0.4,"[0, 1, 0]",5,84.375,15.625
64,0.05,10,0.4,"[0, 0, 1]",1,100.0,0.0
64,0.05,10,0.4,"[0, 0, 1]",2,100.0,0.0
64,0.05,10,0.4,"[0, 0, 1]",3,100.0,0.0
64,0.05,10,0.4,"[0, 0, 1]",4,100.0,0.0
64,0.05,10,0.4,"[0, 0, 1]",5,100.0,0.0
64,0.05,10,0.5,"[1, 0, 0]",1,100.0,0.0
64,0.05,10,0.5,"[1, 0, 0]",2,100.0,0.0
64,0.05,10,0.5,"[1, 0, 0]",3,100.0,0.0
64,0.05,10,0.5,"[1, 0, 0]",4,100.0,0.0
64,0.05,10,0.5,"[1, 0, 0]",5,100.0,0.0
64,0.05,10,0.5,"[0, 1, 0]",1,90.625,9.375
64,0.05,10,0.5,"[0, 1, 0]",2,87.5,12.5
64,0.05,10,0.5,"[0, 1, 0]",3,87.5,12.5
64,0.05,10,0.5,"[0, 1, 0]",4,90.625,9.375
64,0.05,10,0.5,"[0, 1, 0]",5,87.5,12.5
64,0.05,10,0.5,"[0, 0, 1]",1,100.0,0.0
64,0.05,10,0.5,"[0, 0, 1]",2,100.0,0.0
64,0.05,10,0.5,"[0, 0, 1]",3,100.0,0.0
64,0.05,10,0.5,"[0, 0, 1]",4,100.0,0.0
64,0.05,10,0.5,"[0, 0, 1]",5,100.0,0.0
64,0.1,2,0.1,"[1, 0, 0]",1,100.0,0.0
64,0.1,2,0.1,"[1, 0, 0]",2,100.0,0.0
64,0.1,2,0.1,"[1, 0, 0]",3,100.0,0.0
64,0.1,2,0.1,"[1, 0, 0]",4,100.0,0.0
64,0.1,2,0.1,"[1, 0, 0]",5,100.0,0.0
64,0.1,2,0.1,"[0, 1, 0]",1,87.5,12.5
64,0.1,2,0.1,"[0, 1, 0]",2,90.625,9.375
64,0.1,2,0.1,"[0, 1, 0]",3,92.1875,7.8125
64,0.1,2,0.1,"[0, 1, 0]",4,95.3125,4.6875
64,0.1,2,0.1,"[0, 1, 0]",5,93.75,6.25
64,0.1,2,0.1,"[0, 0, 1]",1,43.75,56.25
64,0.1,2,0.1,"[0, 0, 1]",2,64.0625,35.9375
64,0.1,2,0.1,"[0, 0, 1]",3,60.9375,39.0625
64,0.1,2,0.1,"[0, 0, 1]",4,43.75,56.25
64,0.1,2,0.1,"[0, 0, 1]",5,54.6875,45.3125
64,0.1,2,0.2,"[1, 0, 0]",1,100.0,0.0
64,0.1,2,0.2,"[1, 0, 0]",2,100.0,0.0
64,0.1,2,0.2,"[1, 0, 0]",3,100.0,0.0
64,0.1,2,0.2,"[1, 0, 0]",4,100.0,0.0
64,0.1,2,0.2,"[1, 0, 0]",5,100.0,0.0
64,0.1,2,0.2,"[0, 1, 0]",1,92.1875,7.8125
64,0.1,2,0.2,"[0, 1, 0]",2,90.625,9.375
64,0.1,2,0.2,"[0, 1, 0]",3,96.875,3.125
64,0.1,2,0.2,"[0, 1, 0]",4,92.1875,7.8125
64,0.1,2,0.2,"[0, 1, 0]",5,89.0625,10.9375
64,0.1,2,0.2,"[0, 0, 1]",1,100.0,0.0
64,0.1,2,0.2,"[0, 0, 1]",2,100.0,0.0
64,0.1,2,0.2,"[0, 0, 1]",3,100.0,0.0
64,0.1,2,0.2,"[0, 0, 1]",4,100.0,0.0
64,0.1,2,0.2,"[0, 0, 1]",5,100.0,0.0
64,0.1,2,0.3,"[1, 0, 0]",1,100.0,0.0
64,0.1,2,0.3,"[1, 0, 0]",2,100.0,0.0
64,0.1,2,0.3,"[1, 0, 0]",3,100.0,0.0
64,0.1,2,0.3,"[1, 0, 0]",4,100.0,0.0
64,0.1,2,0.3,"[1, 0, 0]",5,100.0,0.0
64,0.1,2,0.3,"[0, 1, 0]",1,90.625,9.375
64,0.1,2,0.3,"[0, 1, 0]",2,85.9375,14.0625
64,0.1,2,0.3,"[0, 1, 0]",3,87.5,12.5
64,0.1,2,0.3,"[0, 1, 0]",4,96.875,3.125
64,0.1,2,0.3,"[0, 1, 0]",5,92.1875,7.8125
